Metrics Report:
Time: 1, Total Blocks: 0, Malicious Blocks: 0, Avg Network Delay: 0.00 units
Time: 2, Total Blocks: 0, Malicious Blocks: 0, Avg Network Delay: 0.00 units
Time: 3, Total Blocks: 0, Malicious Blocks: 0, Avg Network Delay: 0.00 units
Time: 4, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 5, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 6, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 7, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 8, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 9, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 10, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 11, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 12, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 13, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 14, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 15, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 16, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 17, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 18, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 19, Total Blocks: 1, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 20, Total Blocks: 2, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 21, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 22, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 23, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 24, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 25, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 26, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 27, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
Time: 28, Total Blocks: 4, Malicious Blocks: 1, Avg Network Delay: 0.00 units
